trade_id,trading_day,instrument,contract,profile,direction,quantity,entry_time_utc,entry_time_et,entry_price,entry_slippage_ticks,initial_stop,initial_target,breakeven_time_et,breakeven_stop,stall_time_et,modified_target,mfe_dollars,mae_dollars,mfe_time_et,mae_time_et,exit_time_utc,exit_time_et,exit_price,exit_reason,exit_slippage_ticks,gross_pnl,commission,slippage_cost,net_pnl,r_multiple,r_multiple_net,holding_minutes,ambiguous_bar,governor_exit,forced_flatten,entry_hour_et,weekday,month
1,2025-09-09,MNQ,,IDEAL,LONG,10,2025-09-09T16:53:00+00:00,2025-09-09 12:53,24045.75,0.0,24030.75,24075.75,2025-09-09 12:57,24046.0,,,670.0,-115.0,2025-09-09 13:06,2025-09-09 12:54,2025-09-09T17:06:00+00:00,2025-09-09 13:06,24075.75,target,0.0,600.0,12.2,0.0,587.8,2.0,1.959333,13,False,False,False,12,Tue,2025-09
2,2025-10-29,MNQ,,IDEAL,SHORT,10,2025-10-29T17:17:00+00:00,2025-10-29 13:17,26259.25,0.0,26274.25,26229.25,2025-10-29 13:21,26259.0,,,655.0,-5.0,2025-10-29 13:17,2025-10-29 13:25,2025-10-29T17:25:00+00:00,2025-10-29 13:25,26229.25,target,0.0,600.0,12.2,0.0,587.8,2.0,1.959333,8,False,False,False,13,Wed,2025-10
3,2026-05-29,MNQ,,IDEAL,LONG,10,2026-05-29T17:24:00+00:00,2026-05-29 13:24,30378.5,0.0,30363.5,30408.5,,,,,100.0,-535.0,2026-05-29 13:24,2026-05-29 13:25,2026-05-29T17:25:00+00:00,2026-05-29 13:25,30363.5,stop,0.0,-300.0,12.2,0.0,-312.2,-1.0,-1.040667,1,False,False,False,13,Fri,2026-05
4,2026-07-08,MNQ,,IDEAL,SHORT,10,2026-07-08T16:24:00+00:00,2026-07-08 12:24,29258.25,0.0,29273.25,29228.25,,,,,80.0,-305.0,2026-07-08 12:25,2026-07-08 12:25,2026-07-08T16:25:00+00:00,2026-07-08 12:25,29273.25,stop,0.0,-300.0,12.2,0.0,-312.2,-1.0,-1.040667,1,False,False,False,12,Wed,2026-07
5,2026-08-19,MNQ,,IDEAL,SHORT,10,2026-08-19T18:04:00+00:00,2026-08-19 14:04,29562.75,0.0,29577.75,29532.75,2026-08-19 14:05,29562.5,,,655.0,-185.0,2026-08-19 14:04,2026-08-19 14:06,2026-08-19T18:06:00+00:00,2026-08-19 14:06,29532.75,target,0.0,600.0,12.2,0.0,587.8,2.0,1.959333,2,False,False,False,14,Wed,2026-08
