trade_id,trading_day,instrument,contract,profile,direction,quantity,entry_time_utc,entry_time_et,entry_price,entry_slippage_ticks,initial_stop,initial_target,breakeven_time_et,breakeven_stop,stall_time_et,modified_target,mfe_dollars,mae_dollars,mfe_time_et,mae_time_et,exit_time_utc,exit_time_et,exit_price,exit_reason,exit_slippage_ticks,gross_pnl,commission,slippage_cost,net_pnl,r_multiple,r_multiple_net,holding_minutes,ambiguous_bar,governor_exit,forced_flatten,entry_hour_et,weekday,month
1,2025-07-07,NQ,,STRESS_2TICK,SHORT,1,2025-07-07T14:27:00+00:00,2025-07-07 10:27,22955.75,1.0,22970.75,22925.75,2025-07-07 10:28,22955.5,,,670.0,-5.0,2025-07-07 10:27,2025-07-07 10:31,2025-07-07T14:31:00+00:00,2025-07-07 10:31,22925.75,target,0.0,605.0,4.5,5.0,595.5,2.0,1.985,4,False,False,False,10,Mon,2025-07
2,2025-10-29,NQ,,STRESS_2TICK,SHORT,1,2025-10-29T17:17:00+00:00,2025-10-29 13:17,26259.0,1.0,26274.0,26229.0,2025-10-29 13:21,26258.75,,,665.0,-10.0,2025-10-29 13:17,2025-10-29 13:25,2025-10-29T17:25:00+00:00,2025-10-29 13:25,26229.0,target,0.0,605.0,4.5,5.0,595.5,2.0,1.985,8,False,False,False,13,Wed,2025-10
3,2025-12-05,NQ,,STRESS_2TICK,LONG,1,2025-12-05T18:44:00+00:00,2025-12-05 13:44,25735.5,1.0,25720.5,25765.5,,,,,100.0,-305.0,2025-12-05 13:50,2025-12-05 13:51,2025-12-05T18:51:00+00:00,2025-12-05 13:51,25719.75,stop,3.0,-295.0,4.5,20.0,-319.5,-1.05,-1.065,7,False,False,False,13,Fri,2025-12
4,2025-12-10,NQ,,STRESS_2TICK,LONG,1,2025-12-10T17:12:00+00:00,2025-12-10 12:12,25633.0,1.0,25618.0,25663.0,,,,,95.0,-300.0,2025-12-10 12:13,2025-12-10 12:20,2025-12-10T17:20:00+00:00,2025-12-10 12:20,25617.25,stop,3.0,-295.0,4.5,20.0,-319.5,-1.05,-1.065,8,False,False,False,12,Wed,2025-12
5,2025-12-22,NQ,,STRESS_2TICK,SHORT,1,2025-12-22T19:34:00+00:00,2025-12-22 14:34,25705.75,1.0,25720.75,25675.75,2025-12-22 14:56,25705.5,2025-12-22 15:18,25685.75,530.0,-120.0,2025-12-22 14:37,2025-12-22 15:16,2025-12-22T20:22:00+00:00,2025-12-22 15:22,25685.75,target,0.0,405.0,4.5,5.0,395.5,1.333333,1.318333,48,False,False,False,14,Mon,2025-12
6,2026-03-23,NQ,,STRESS_2TICK,LONG,1,2026-03-23T16:28:00+00:00,2026-03-23 12:28,24361.25,1.0,24346.25,24391.25,,,,,15.0,-1055.0,2026-03-23 12:28,2026-03-23 12:29,2026-03-23T16:29:00+00:00,2026-03-23 12:29,24345.5,stop,3.0,-295.0,4.5,20.0,-319.5,-1.05,-1.065,1,False,False,False,12,Mon,2026-03
7,2026-05-29,NQ,,STRESS_2TICK,LONG,1,2026-05-29T17:24:00+00:00,2026-05-29 13:24,30378.75,1.0,30363.75,30408.75,,,,,85.0,-470.0,2026-05-29 13:24,2026-05-29 13:25,2026-05-29T17:25:00+00:00,2026-05-29 13:25,30363.0,stop,3.0,-295.0,4.5,20.0,-319.5,-1.05,-1.065,1,False,False,False,13,Fri,2026-05
8,2026-08-31,NQ,,STRESS_2TICK,SHORT,1,2026-08-31T14:59:00+00:00,2026-08-31 10:59,29415.75,1.0,29430.75,29385.75,,,,,30.0,-535.0,2026-08-31 11:00,2026-08-31 10:59,2026-08-31T15:00:00+00:00,2026-08-31 11:00,29431.5,stop,3.0,-295.0,4.5,20.0,-319.5,-1.05,-1.065,1,False,False,False,10,Mon,2026-08
