trade_id,trading_day,instrument,contract,profile,direction,quantity,entry_time_utc,entry_time_et,entry_price,entry_slippage_ticks,initial_stop,initial_target,breakeven_time_et,breakeven_stop,stall_time_et,modified_target,mfe_dollars,mae_dollars,mfe_time_et,mae_time_et,exit_time_utc,exit_time_et,exit_price,exit_reason,exit_slippage_ticks,gross_pnl,commission,slippage_cost,net_pnl,r_multiple,r_multiple_net,holding_minutes,ambiguous_bar,governor_exit,forced_flatten,entry_hour_et,weekday,month
1,2025-07-07,NQ,,IDEAL,SHORT,1,2025-07-07T14:27:00+00:00,2025-07-07 10:27,22956.0,0.0,22971.0,22926.0,2025-07-07 10:28,22955.75,,,675.0,0.0,2025-07-07 10:27,2025-07-07 10:31,2025-07-07T14:31:00+00:00,2025-07-07 10:31,22926.0,target,0.0,600.0,4.5,0.0,595.5,2.0,1.985,4,False,False,False,10,Mon,2025-07
2,2025-10-29,NQ,,IDEAL,SHORT,1,2025-10-29T17:17:00+00:00,2025-10-29 13:17,26259.25,0.0,26274.25,26229.25,2025-10-29 13:21,26259.0,,,670.0,-5.0,2025-10-29 13:17,2025-10-29 13:25,2025-10-29T17:25:00+00:00,2025-10-29 13:25,26229.25,target,0.0,600.0,4.5,0.0,595.5,2.0,1.985,8,False,False,False,13,Wed,2025-10
3,2025-12-05,NQ,,IDEAL,LONG,1,2025-12-05T18:44:00+00:00,2025-12-05 13:44,25735.25,0.0,25720.25,25765.25,,,,,105.0,-300.0,2025-12-05 13:50,2025-12-05 13:51,2025-12-05T18:51:00+00:00,2025-12-05 13:51,25720.25,stop,0.0,-300.0,4.5,0.0,-304.5,-1.0,-1.015,7,False,False,False,13,Fri,2025-12
4,2025-12-10,NQ,,IDEAL,LONG,1,2025-12-10T17:12:00+00:00,2025-12-10 12:12,25632.75,0.0,25617.75,25662.75,,,,,100.0,-340.0,2025-12-10 12:13,2025-12-10 12:21,2025-12-10T17:21:00+00:00,2025-12-10 12:21,25617.75,stop,0.0,-300.0,4.5,0.0,-304.5,-1.0,-1.015,9,False,False,False,12,Wed,2025-12
5,2025-12-22,NQ,,IDEAL,SHORT,1,2025-12-22T19:34:00+00:00,2025-12-22 14:34,25706.0,0.0,25721.0,25676.0,2025-12-22 14:56,25705.75,2025-12-22 15:18,25686.0,535.0,-115.0,2025-12-22 14:37,2025-12-22 15:16,2025-12-22T20:22:00+00:00,2025-12-22 15:22,25686.0,target,0.0,400.0,4.5,0.0,395.5,1.333333,1.318333,48,False,False,False,14,Mon,2025-12
6,2026-03-23,NQ,,IDEAL,LONG,1,2026-03-23T16:28:00+00:00,2026-03-23 12:28,24361.0,0.0,24346.0,24391.0,,,,,20.0,-1050.0,2026-03-23 12:28,2026-03-23 12:29,2026-03-23T16:29:00+00:00,2026-03-23 12:29,24346.0,stop,0.0,-300.0,4.5,0.0,-304.5,-1.0,-1.015,1,False,False,False,12,Mon,2026-03
7,2026-05-29,NQ,,IDEAL,LONG,1,2026-05-29T17:24:00+00:00,2026-05-29 13:24,30378.5,0.0,30363.5,30408.5,,,,,90.0,-465.0,2026-05-29 13:24,2026-05-29 13:25,2026-05-29T17:25:00+00:00,2026-05-29 13:25,30363.5,stop,0.0,-300.0,4.5,0.0,-304.5,-1.0,-1.015,1,False,False,False,13,Fri,2026-05
8,2026-08-31,NQ,,IDEAL,SHORT,1,2026-08-31T14:59:00+00:00,2026-08-31 10:59,29416.0,0.0,29431.0,29386.0,,,,,35.0,-530.0,2026-08-31 11:00,2026-08-31 10:59,2026-08-31T15:00:00+00:00,2026-08-31 11:00,29431.0,stop,0.0,-300.0,4.5,0.0,-304.5,-1.0,-1.015,1,False,False,False,10,Mon,2026-08
