trade_id,trading_day,instrument,contract,profile,direction,quantity,entry_time_utc,entry_time_et,entry_price,entry_slippage_ticks,initial_stop,initial_target,breakeven_time_et,breakeven_stop,stall_time_et,modified_target,mfe_dollars,mae_dollars,mfe_time_et,mae_time_et,exit_time_utc,exit_time_et,exit_price,exit_reason,exit_slippage_ticks,gross_pnl,commission,slippage_cost,net_pnl,r_multiple,r_multiple_net,holding_minutes,ambiguous_bar,governor_exit,forced_flatten,entry_hour_et,weekday,month
1,2025-09-09,MNQ,,STRESS_1TICK,LONG,10,2025-09-09T16:53:00+00:00,2025-09-09 12:53,24046.0,1.0,24031.0,24076.0,2025-09-09 12:57,24046.25,,,665.0,-120.0,2025-09-09 13:06,2025-09-09 12:54,2025-09-09T17:06:00+00:00,2025-09-09 13:06,24076.0,target,0.0,605.0,12.2,5.0,587.8,2.0,1.959333,13,False,False,False,12,Tue,2025-09
2,2025-10-29,MNQ,,STRESS_1TICK,SHORT,10,2025-10-29T17:17:00+00:00,2025-10-29 13:17,26259.0,1.0,26274.0,26229.0,2025-10-29 13:21,26258.75,,,650.0,-10.0,2025-10-29 13:17,2025-10-29 13:25,2025-10-29T17:25:00+00:00,2025-10-29 13:25,26229.0,target,0.0,605.0,12.2,5.0,587.8,2.0,1.959333,8,False,False,False,13,Wed,2025-10
3,2026-05-29,MNQ,,STRESS_1TICK,LONG,10,2026-05-29T17:24:00+00:00,2026-05-29 13:24,30378.75,1.0,30363.75,30408.75,,,,,95.0,-540.0,2026-05-29 13:24,2026-05-29 13:25,2026-05-29T17:25:00+00:00,2026-05-29 13:25,30363.25,stop,2.0,-295.0,12.2,15.0,-322.2,-1.033333,-1.074,1,False,False,False,13,Fri,2026-05
4,2026-07-08,MNQ,,STRESS_1TICK,SHORT,10,2026-07-08T16:24:00+00:00,2026-07-08 12:24,29258.0,1.0,29273.0,29228.0,,,,,75.0,-310.0,2026-07-08 12:25,2026-07-08 12:25,2026-07-08T16:25:00+00:00,2026-07-08 12:25,29273.5,stop,2.0,-295.0,12.2,15.0,-322.2,-1.033333,-1.074,1,False,False,False,12,Wed,2026-07
5,2026-08-19,MNQ,,STRESS_1TICK,SHORT,10,2026-08-19T18:04:00+00:00,2026-08-19 14:04,29562.5,1.0,29577.5,29532.5,2026-08-19 14:05,29562.25,,,650.0,-190.0,2026-08-19 14:04,2026-08-19 14:06,2026-08-19T18:06:00+00:00,2026-08-19 14:06,29532.5,target,0.0,605.0,12.2,5.0,587.8,2.0,1.959333,2,False,False,False,14,Wed,2026-08
