month,sessions,starting_equity,ending_equity,gross_pnl,net_pnl,return_on_account_pct,trades,win_rate,average_trade,median_trade,profit_factor,max_drawdown,max_intraday_drawdown,min_mll_buffer,dll_breaches,liquidated,target_reached,forced_flatten_pnl
2025-09,17,0.0,-131.51999999999998,-96.0,-131.51999999999998,-0.26303999999999994,16,0.25,-8.219999999999999,-3.4699999999999998,0.12981341802302504,-131.51999999999998,-65.61,1863.5899999999965,0,False,False,0.0
2025-10,23,-131.51999999999998,-85.99999999999994,121.0,45.52000000000003,0.09104000000000005,34,0.4411764705882353,1.3388235294117659,-1.7199999999999998,1.194796302636084,-52.099999999999994,-71.83,1789.949999999997,0,False,False,0.0
2025-11,17,-85.99999999999994,181.9600000000001,339.0,267.96000000000004,0.5359200000000001,32,0.625,8.373750000000001,10.780000000000001,2.3094214229867083,-72.16,-99.71000000000015,1868.669999999991,0,False,False,0.0
2025-12,20,181.9600000000001,124.46000000000012,-2.0,-57.49999999999998,-0.11499999999999996,25,0.52,-2.299999999999999,1.2800000000000002,0.6781236005373937,-77.25999999999999,-70.83,1891.0499999999956,0,False,False,0.0
2026-01,20,124.46000000000012,35.52000000000015,-29.0,-88.93999999999997,-0.17787999999999993,27,0.2962962962962963,-3.294074074074073,-5.22,0.6152781382472533,-119.89999999999998,-78.49,1818.8900000000067,0,False,False,0.0
2026-02,18,35.52000000000015,314.26000000000016,352.0,278.74,0.55748,33,0.5454545454545454,8.446666666666667,0.7800000000000002,2.187137989778535,-23.539999999999992,-77.7700000000001,1805.4500000000044,0,False,False,0.0
2026-03,22,314.26000000000016,378.6000000000002,126.5,64.34000000000003,0.12868000000000007,28,0.5,2.297857142857144,-2.2199999999999998,1.1925886015325664,-79.25999999999999,-90.05,1844.909999999989,0,False,False,0.0
2026-04,21,378.6000000000002,353.56000000000023,101.5,-25.039999999999942,-0.05007999999999988,57,0.47368421052631576,-0.43929824561403397,-1.2199999999999998,0.941372044017794,-155.39999999999998,-161.58999999999997,1789.5699999999852,0,False,False,0.0
2026-05,20,353.56000000000023,344.98000000000025,78.0,-8.579999999999961,-0.017159999999999922,39,0.5384615384615384,-0.21999999999999886,3.2800000000000002,0.9721843999221936,-57.47999999999999,-135.11,1834.769999999975,0,False,False,0.0
2026-06,21,344.98000000000025,402.6800000000003,91.0,57.70000000000002,0.11540000000000003,15,0.6666666666666666,3.846666666666668,11.280000000000001,1.4687246141348498,-67.22,-83.61,1916.3899999999994,0,False,False,0.0
2026-07,22,402.6800000000003,354.9800000000003,-25.5,-47.69999999999999,-0.09539999999999998,10,0.5,-4.769999999999999,3.2800000000000007,0.7039106145251397,-47.69999999999999,-98.33,1834.449999999997,0,False,False,0.0
2026-08,21,354.9800000000003,349.1200000000003,23.0,-5.8599999999999905,-0.011719999999999982,13,0.46153846153846156,-0.4507692307692299,-1.2199999999999998,0.9157319528329021,0.0,-41.11,1856.310000000005,0,False,False,0.0
2026-09,7,349.1200000000003,301.2000000000003,-23.5,-47.919999999999995,-0.09583999999999998,11,0.18181818181818182,-4.3563636363636355,-3.7199999999999998,0.15900315900315906,-52.48,-56.36999999999999,1827.4099999999962,0,False,False,0.0
