panel,symbol,predictor,target,kind,pred_family,rho_search,t_search,n_search,rho_hold,t_hold,n_hold
ETF,DIA,gap_pct,eff_range,main,prior RTH,0.01409574278159785,0.5982572520683523,1803,-0.033624185159183036,-0.9341671689295775,773
ETF,DIA,fc_vol x gap_pct,eff_range,interaction,prior RTH,0.006776787962291045,0.2811410776057628,1723,-0.04045564258026149,-1.124247627829994,773
ETF,DIA,gap_pct,eff_mfe,main,prior RTH,0.05581154844896052,2.37223867579149,1803,-0.04340100902023467,-1.206247510565836,773
ETF,DIA,fc_vol x gap_pct,eff_mfe,interaction,prior RTH,0.04438080122871126,1.8429506276524292,1723,-0.04958535900093048,-1.378526788303021,773
ETF,DIA,gap_pct,rest1_eff_range,main,prior RTH,0.019532943718653578,0.8291009645626888,1803,-0.03580243534542698,-0.9947599209676358,773
ETF,DIA,fc_vol x gap_pct,rest1_eff_range,interaction,prior RTH,0.007123788680520111,0.295537423909211,1723,-0.042126745141168494,-1.1707678819773812,773
ETF,DIA,gap_pct,rest1_eff_mfe,main,prior RTH,0.05839778012976577,2.482532815964609,1803,-0.03518696275217261,-0.9776378150135959,773
ETF,DIA,fc_vol x gap_pct,rest1_eff_mfe,interaction,prior RTH,0.04359283267248379,1.8101666976996378,1723,-0.0389631935512422,-1.0827087416149388,773
ETF,DIA,gap_pct,rest1_eff_vol,main,prior RTH,0.03682605885196437,1.5638920979641453,1803,-0.03435163244073755,-0.9544011672368184,773
ETF,DIA,fc_vol x gap_pct,rest1_eff_vol,interaction,prior RTH,0.0266052673879715,1.1041086775907105,1723,-0.04079655555271,-1.1337372037029185,773
ETF,DIA,gap_pct,rest5_eff_range,main,prior RTH,0.014196988667319818,0.6025552343456694,1803,-0.028990164302153388,-0.8053050814075823,773
ETF,DIA,fc_vol x gap_pct,rest5_eff_range,interaction,prior RTH,0.007099538197109916,0.29453131780612857,1723,-0.03222807114377304,-0.8953382934605244,773
ETF,DIA,gap_pct,rest5_eff_mfe,main,prior RTH,0.035421469002472596,1.5041669645541123,1803,-0.018900976933770353,-0.524915056578291,773
ETF,DIA,fc_vol x gap_pct,rest5_eff_mfe,interaction,prior RTH,0.028166206020801294,1.1689370544502038,1723,-0.018363964958422782,-0.5099961369300346,773
ETF,DIA,gap_pct,rest5_eff_vol,main,prior RTH,0.03307809452951564,1.4045430799555967,1803,-0.031710790966614215,-0.880952984875145,773
ETF,DIA,fc_vol x gap_pct,rest5_eff_vol,interaction,prior RTH,0.027115072628789767,1.1252808250217319,1723,-0.03638126231679476,-1.0108635998596998,773
ETF,DIA,gap_pct,rest15_eff_range,main,prior RTH,0.0024974793862123966,0.10598883612997574,1803,-0.0538842544471077,-1.498374847661455,773
ETF,DIA,fc_vol x gap_pct,rest15_eff_range,interaction,prior RTH,5.409728523514562e-05,0.0022442224745080792,1723,-0.05886576147067289,-1.6373582630771957,773
ETF,DIA,gap_pct,rest15_eff_mfe,main,prior RTH,0.04396822688501044,1.8677382155862596,1803,-0.06208511878882938,-1.7272425582935065,773
ETF,DIA,fc_vol x gap_pct,rest15_eff_mfe,interaction,prior RTH,0.04010088349034705,1.6649218293234143,1723,-0.06655239855413098,-1.8520590557765315,773
ETF,DIA,gap_pct,rest15_eff_vol,main,prior RTH,0.02127721331778486,0.9031708936719552,1803,-0.045065203210741867,-1.2525929688610482,773
ETF,DIA,fc_vol x gap_pct,rest15_eff_vol,interaction,prior RTH,0.020165214286018387,0.8367227828038407,1723,-0.05136845596463157,-1.4282276894434591,773
