strategy,symbol,n_sessions,n_trades,gross_pnl,costs,net_pnl,expectancy_per_trade,expectancy_per_session,win_rate,avg_win,avg_loss,payoff_ratio,profit_factor,max_drawdown,max_dd_duration,sharpe,sortino,t_stat,consec_losing_days,time_in_market,exposure,return_vol,trades_per_session,median_holding_minutes,mean_mae,mean_mfe,exit_reason_mix,regime,contracts
added.bollinger_revert.2sd,ES,310,3884,24812.5,63231.520000000004,-38419.01999999996,-9.891611740473728,-123.93232258064504,0.5883110195674562,79.72656455142233,-137.9576110068793,0.5779062421387302,0.8258385011175725,-39261.41999999994,309,-2.7414864211957304,-3.288413841351926,-3.0406517010156873,7,0.10722712647471332,0.10722712647471332,717.6269831196319,12.529032258064516,2.0,-106.8196446961895,59.275231719876416,forced_flatten:89|signal_flat:3791|signal_flip:4,normal,1
added.vwap_trend,ES,310,3566,-22850.0,58054.48,-80904.48,-22.687739764441947,-260.9821935483871,0.23864273696017949,511.5695887191539,-190.14740331491714,2.690384300814804,0.8432843609552112,-82574.12,306,-2.1740612445861345,-2.8474192355687062,-2.4113061331815167,9,0.5190413332233315,0.5190413332233315,1905.6334750402232,11.503225806451614,4.0,-146.7470555243971,296.51920919798096,forced_flatten:211|signal_flat:996|signal_flip:2359,normal,1
trend.ret_15.q80,NQ,310,6936,-18805.0,95578.08,-114383.08000000006,-16.491216839677037,-368.977677419355,0.24581891580161477,514.0499120234605,-189.41658956222517,2.7138589772496675,0.8845592728370643,-114646.52000000022,307,-2.2466472036613045,-4.111922337571519,-2.4918130502413165,7,0.3390644336275885,0.3390644336275885,2607.146788854698,22.374193548387098,3.0,-138.3073817762399,294.37644175317183,forced_flatten:173|signal_flat:6749|signal_flip:14,normal,1
trend.ret_15.q90,NQ,310,5054,-39230.0,69644.12,-108874.12000000002,-21.542168579343084,-351.20683870967747,0.277997625643055,378.84989323843416,-175.70792545902987,2.156134347660779,0.8301914931387763,-109580.13999999996,307,-3.310895972419177,-5.636009554432631,-3.672198188759002,10,0.17057998514974013,0.17057998514974013,1683.9054353472216,16.303225806451614,2.0,-121.75207756232687,239.40740007914522,forced_flatten:114|signal_flat:4937|signal_flip:3,normal,1
trend.ret_30.q80,NQ,310,6882,-22025.0,94833.95999999999,-116858.96000000011,-16.980377797151984,-376.96438709677454,0.24106364428945073,527.6214466546113,-189.96418533409917,2.7774785322120485,0.8822203494045162,-116347.26000000015,309,-2.2825578466698495,-4.099600617642772,-2.531642449688378,7,0.3439815196765943,0.3439815196765943,2621.6746870386123,22.2,3.0,-139.35193257773903,300.1409473990119,forced_flatten:174|signal_flat:6696|signal_flip:12,normal,1
trend.ret_30.q90,NQ,310,5052,-38565.0,69616.56,-108181.56000000001,-21.4136104513064,-348.97277419354845,0.27731591448931114,380.98802284082797,-175.8273842782799,2.166829839417066,0.831478664755768,-109062.57999999994,307,-3.261575594446064,-5.583073480155441,-3.6174957142111714,10,0.17068723702664795,0.17068723702664795,1698.4953709256051,16.296774193548387,2.0,-121.9556611243072,239.6872525732383,forced_flatten:113|signal_flat:4936|signal_flip:3,normal,1
trend.ret_60.q80,NQ,310,6612,-21310.0,91113.36,-112423.36000000004,-17.00292800967936,-362.6560000000001,0.2483363581367211,509.20112058465287,-190.85142857142856,2.6680498249143465,0.8814764210280397,-111925.4400000001,309,-2.205977117711068,-3.950905923853289,-2.4467048326448553,10,0.3299315238016665,0.3299315238016665,2609.721324202183,21.329032258064515,3.0,-139.50468844525105,298.4429824561403,forced_flatten:171|signal_flat:6431|signal_flip:10,normal,1
trend.ret_60.q90,NQ,310,4964,-42140.0,68403.92,-110543.92000000001,-22.269121676067673,-356.5932903225807,0.2757856567284448,379.5910737764791,-175.30016689847008,2.1653777089461057,0.8245902874957494,-113102.85999999991,307,-3.310901407447395,-5.714551928010715,-3.6722042168858122,10,0.167131424799934,0.167131424799934,1709.7286496039417,16.01290322580645,2.0,-121.88053988718775,237.98146655922642,forced_flatten:111|signal_flat:4851|signal_flip:2,normal,1
trend.ma_agree.30_120,NQ,310,6734,-129090.0,92794.51999999999,-221884.52000000002,-32.94988416988416,-715.7565161290323,0.20804870804870804,637.7153604568165,-209.13627226701664,3.049281473481595,0.8010581932022717,-220522.22000000035,308,-3.9889384225822293,-5.8680531035567505,-4.424232163288009,12,0.5090751588152793,0.5090751588152793,2848.447692595145,21.72258064516129,3.0,-162.62696762696763,339.39634689634687,forced_flatten:253|signal_flat:5538|signal_flip:943,normal,1
trend.multi_horizon_agree,NQ,310,8555,-67435.0,117887.9,-185322.90000000026,-21.662524839275267,-597.8158064516138,0.3115137346580947,423.3532082551594,-223.01514431239391,1.898315962175811,0.8589154565702098,-184332.1800000001,309,-3.037520830749476,-5.250232058672566,-3.3689909275058794,13,0.4817919313587987,0.4817919313587987,3124.2688531045865,27.596774193548388,3.0,-162.19637638807714,291.7837521917008,forced_flatten:218|signal_flat:8180|signal_flip:157,normal,1
trend.accel_confirm,NQ,310,10851,-105350.0,149526.78,-254876.78000000026,-23.48878260068195,-822.1831612903234,0.36485116579117133,346.6077241727709,-236.084846198491,1.4681489716682472,0.8433548721466325,-256458.67999999993,309,-4.627090468118725,-6.983901584783435,-5.132022684431959,11,0.435186865770151,0.435186865770151,2820.7257133706266,35.00322580645161,2.0,-163.7346788314441,229.61386047368907,forced_flatten:187|signal_flat:9900|signal_flip:764,normal,1
breakout.opening_range.q90,NQ,310,961,-65315.0,13242.579999999998,-78557.58,-81.7456607700312,-253.4115483870968,0.07908428720083246,2107.338421052632,-269.734802259887,7.812630789193569,0.6709151864166228,-75908.43999999996,309,-1.9462683440539428,-2.86552973703188,-2.1586552846756164,5,0.1853642438742678,0.1853642438742678,2066.921362922255,3.1,3.0,-240.05723204994797,524.4224765868887,forced_flatten:84|signal_flat:877,normal,1
breakout.opening_range.q95,NQ,310,515,-32625.0,7096.7,-39721.70000000001,-77.12951456310682,-128.1345161290323,0.07766990291262135,2058.72,-256.99052631578945,8.010878959289919,0.6746003334138878,-51352.07999999998,309,-1.3390335660040542,-1.7771861631950019,-1.4851558843072743,3,0.08352446167807936,0.08352446167807936,1519.0600414268677,1.6612903225806452,3.0,-228.0097087378641,498.5728155339806,forced_flatten:43|signal_flat:472,normal,1
breakout.range_expansion.q80,NQ,310,2880,-6595.0,39686.399999999994,-46281.40000000005,-16.069930555555548,-149.29483870967758,0.39131944444444444,381.6680922803904,-271.7748659440959,1.4043538976812504,0.9028561566952478,-60331.68000000001,305,-1.2395293599543897,-1.8931662553382456,-1.374793260934818,12,0.13452685421994887,0.13452685421994887,1912.0015774334245,9.290322580645162,3.0,-192.11284722222223,277.9045138888889,forced_flatten:281|signal_flat:1154|signal_flip:1445,normal,1
breakout.range_expansion.q90,NQ,310,1409,-9740.0,19416.019999999997,-29156.02000000001,-20.69270404542227,-94.05167741935487,0.38325053229240597,427.9051851851852,-299.4531875719217,1.4289551854658828,0.8879583430973265,-34282.140000000014,305,-1.0582452593360654,-1.5133196158158004,-1.1737264948730017,11,0.06364161372824026,0.06364161372824026,1410.8488366649563,4.54516129032258,3.0,-214.7374024130589,294.6593328601845,forced_flatten:226|signal_flat:534|signal_flip:649,normal,1
breakout.failed_reversal,NQ,310,470,6665.0,6476.599999999999,188.40000000000646,0.4008510638297954,0.6077419354838918,0.48723404255319147,147.6610480349345,-139.52688796680496,1.0582981544751773,1.0056028106838821,-6238.7199999999975,129,0.03642910233432185,0.03658608866579037,0.04040443575533651,2,0.0038775678574375053,0.0038775678574375053,264.83233232137854,1.5161290322580645,1.0,-64.72340425531915,78.90425531914893,forced_flatten:8|signal_flat:462,normal,1
breakout.compression_expansion,NQ,310,3317,10965.0,45708.259999999995,-34743.26000000001,-10.474302080192933,-112.07503225806455,0.33524268917696715,371.3099280575539,-203.0112925170068,1.8290112015638158,0.9223856943940876,-44776.03999999997,308,-1.1257326649727741,-1.8122979550792029,-1.248578477782657,8,0.159689794571405,0.159689794571405,1580.4249415195852,10.7,3.0,-148.22731383780524,214.5749170937594,forced_flatten:18|signal_flat:1108|signal_flip:2191,normal,1
revert.z_60.q90,NQ,310,5058,38350.0,69699.23999999999,-31349.239999999998,-6.1979517595887605,-101.12658064516128,0.6640964808224594,162.2932360821673,-339.31266627427897,0.4782999640543324,0.9456207058613905,-38733.11999999999,239,-0.9684138353597033,-1.1374668701504083,-1.0740921979432176,7,0.17089349063608614,0.17089349063608614,1657.6949247696455,16.316129032258065,2.0,-239.72222222222223,121.81494661921708,forced_flatten:114|signal_flat:4941|signal_flip:3,normal,1
revert.z_60.q95,NQ,310,3276,56735.0,45143.28,11591.720000000023,3.5383760683760808,37.392645161290396,0.6498778998778999,160.32051667449508,-287.4722406277245,0.5576904271675732,1.0351551172099072,-11148.799999999997,118,0.5111704638842381,0.5733207911233014,0.5669520478021063,4,0.08269119709594919,0.08269119709594919,1161.236577026425,10.567741935483872,2.0,-197.62515262515262,116.9047619047619,forced_flatten:71|signal_flat:3204|signal_flip:1,normal,1
revert.vwap.q90,NQ,310,2118,81565.0,29186.039999999997,52378.95999999999,24.730387157695958,168.96438709677417,0.8087818696883853,272.542241681261,-1023.421975308642,0.2663048559213008,1.1263709091189833,-39960.020000000004,154,0.9904418447261268,0.7811603580544401,1.0985240184447365,6,0.27241151720155105,0.27241151720155105,2708.1110379062898,6.832258064516129,3.0,-585.8026440037771,236.41170915958452,forced_flatten:88|signal_flat:2030,normal,1
revert.vwap.q95,NQ,310,1246,44845.0,17169.879999999997,27675.12000000001,22.21117174959873,89.27458064516132,0.7945425361155698,274.5583838383838,-953.6628124999997,0.28789880473438706,1.1133586589337625,-25508.260000000002,197,0.6233848509479885,0.3810042396127525,0.6914118533535065,4,0.14580480158402773,0.14580480158402773,2273.379005866,4.019354838709678,3.0,-593.5353130016051,235.52166934189407,forced_flatten:45|signal_flat:1201,normal,1
revert.z_calm_only,NQ,310,1668,22810.0,22985.039999999997,-175.03999999997723,-0.1049400479616165,-0.5646451612902491,0.6306954436450839,152.7361596958175,-261.1257792207792,0.5849141365957615,0.9989118047057485,-14657.34,190,-0.011602654632244004,-0.013472958483309183,-0.0128687967487516,5,0.03644913785991255,0.03644913785991255,772.5356255722791,5.380645161290323,2.0,-171.36390887290167,108.31235011990408,forced_flatten:1|signal_flat:1667,normal,1
session.late_day_continuation,NQ,310,2796,-480.0,38528.88,-39008.880000000034,-13.95167381974248,-125.83509677419366,0.30472103004291845,476.8303286384976,-229.04748971193416,2.081796789120859,0.9123924199233395,-52228.40000000002,308,-1.1280223585286517,-1.769892185441847,-1.2511180346273147,8,0.2292715122514644,0.2292715122514644,1770.8604962539284,9.019354838709678,4.0,-175.05185979971387,310.5776108726752,forced_flatten:309|signal_flat:106|signal_flip:2381,normal,1
session.late_day_fade,NQ,310,2796,480.0,38528.88,-38048.88000000004,-13.608326180257501,-122.73832258064529,0.6323319027181689,222.97904977375566,-420.50178988326843,0.5302689670730172,0.9119800912306365,-52560.80000000003,270,-1.1488307846629449,-1.5110097210584528,-1.2741971846210987,8,0.2292715122514644,0.2292715122514644,1695.99430423107,9.019354838709678,4.0,-310.5776108726752,175.05185979971387,forced_flatten:309|signal_flat:106|signal_flip:2381,normal,1
session.opening_drive,NQ,310,2975,-12055.0,40995.5,-53050.50000000005,-17.83210084033612,-171.1306451612905,0.3515966386554622,720.7611089866157,-418.33417314670805,1.72293146305752,0.9342593625495935,-60259.300000000025,259,-0.8926034579085145,-1.1615712858912426,-0.9900089971768765,8,0.18878805379094132,0.18878805379094132,3043.473278893924,9.596774193548388,3.0,-304.1344537815126,515.9243697478992,signal_flat:367|signal_flip:2608,normal,1
session.midday_reversion,NQ,310,2229,44120.0,30715.62,13404.380000000028,6.013629430237787,43.23993548387106,0.6747420367877972,155.66481382978725,-304.4351724137931,0.5113233552994499,1.06073148464879,-13476.76,56,0.6735830401710876,0.8617915214519382,0.7470879304878045,7,0.0728982757198251,0.0728982757198251,1019.0468807030157,7.190322580645161,2.0,-220.24899057873486,119.05114401076716,signal_flat:2229,normal,1
vol.expansion_trend,NQ,310,5530,-20780.0,76203.4,-96983.40000000001,-17.537685352622056,-312.84967741935486,0.36726943942133816,554.8856819300836,-349.80172049156903,1.5862863142877468,0.9207623619086636,-96939.74000000005,296,-1.5017058989164362,-2.4768609971822793,-1.6655798696146629,9,0.3988779803646564,0.3988779803646564,3307.128691958818,17.838709677419356,3.0,-258.75858951175405,392.0379746835443,forced_flatten:232|signal_flat:1577|signal_flip:3721,normal,1
