panel,symbol,predictor,target,kind,rho_search,t_search,n_search,rho_hold,t_hold,n_hold,scale_free
ETF,DIA,gap_pct,eff_range,main,0.01409574278159785,0.5982572520683523,1803,-0.033624185159183036,-0.9341671689295775,773,True
ETF,DIA,fc_vol x gap_pct,eff_range,interaction,0.006776787962291045,0.2811410776057628,1723,-0.04045564258026149,-1.124247627829994,773,True
ETF,DIA,gap_pct,eff_mfe,main,0.05581154844896052,2.37223867579149,1803,-0.04340100902023467,-1.206247510565836,773,True
ETF,DIA,fc_vol x gap_pct,eff_mfe,interaction,0.04438080122871126,1.8429506276524292,1723,-0.04958535900093048,-1.378526788303021,773,True
ETF,DIA,gap_pct,cost_opp_usd,main,-0.048381245814019286,-2.05561976942996,1803,-0.051922297763123286,-1.4436678855083076,773,False
ETF,DIA,fc_vol x gap_pct,cost_opp_usd,interaction,-0.035653046832253656,-1.4800053485257976,1723,-0.0537944145145861,-1.4958693865525605,773,False
ETF,DIA,abs_gap_pct,eff_range,main,0.07297279675060038,3.1051118796675374,1803,0.0021022317127823535,0.058372558884485795,773,True
ETF,DIA,fc_vol x abs_gap_pct,eff_range,interaction,0.07859273725878964,3.2705311401786488,1723,0.0019008067565719196,0.052779581298796785,773,True
ETF,DIA,abs_gap_pct,eff_mfe,main,0.05206587879964882,2.212582706608339,1803,3.795721442529228e-05,0.0010539536751971615,773,True
ETF,DIA,fc_vol x abs_gap_pct,eff_mfe,interaction,0.039000122311895584,1.6191494575654728,1723,-0.010155477400769433,-0.28200053317538865,773,True
ETF,DIA,abs_gap_pct,cost_opp_usd,main,0.36792487703498916,16.791926980606718,1803,0.22046342807189132,6.276002569019577,773,False
ETF,DIA,fc_vol x abs_gap_pct,cost_opp_usd,interaction,0.5106534994184528,24.639169974627283,1723,0.27016058183576785,7.791233116756776,773,False
ETF,DIA,prev_ret_pct,eff_range,main,0.03846807896000584,1.6332712686821103,1802,-0.031230039041575747,-0.867584144657422,773,True
ETF,DIA,fc_vol x prev_ret_pct,eff_range,interaction,0.03243515915403263,1.3462788905855663,1723,-0.031021001870526754,-0.8617713881353387,773,True
ETF,DIA,prev_ret_pct,eff_mfe,main,0.06522421805476618,2.77313423193382,1802,0.0031291319430013865,0.08688667767415796,773,True
ETF,DIA,fc_vol x prev_ret_pct,eff_mfe,interaction,0.0697692758621809,2.901444385792176,1723,0.0009927721059587809,0.02756620422309835,773,True
ETF,DIA,prev_ret_pct,cost_opp_usd,main,-0.04113822039732022,-1.7468256253885652,1802,-0.042685750329135255,-1.1863316797889345,773,False
ETF,DIA,fc_vol x prev_ret_pct,cost_opp_usd,interaction,-0.01782912570629572,-0.739757742742104,1723,-0.040085236013381036,-1.1139375206479958,773,False
ETF,DIA,prev_range_pct,eff_range,main,0.034613586243577577,1.4694106077400262,1802,-0.03489801007317028,-0.9695996972386179,773,True
ETF,DIA,fc_vol x prev_range_pct,eff_range,interaction,0.047371523913507754,1.9674134243216514,1723,-0.033302926037161854,-0.9252317984867025,773,True
ETF,DIA,prev_range_pct,eff_mfe,main,-0.01903869254081897,-0.8078897479339789,1802,-0.04907562524821516,-1.3643212462841319,773,True
ETF,DIA,fc_vol x prev_range_pct,eff_mfe,interaction,-0.01622630928556511,-0.6732360539089096,1723,-0.046678981803883114,-1.2975443999058425,773,True
ETF,DIA,prev_range_pct,cost_opp_usd,main,0.6119837436673308,32.82999745491759,1802,0.27020703940964996,7.7926784354387495,773,False
ETF,DIA,fc_vol x prev_range_pct,cost_opp_usd,interaction,0.6640173226594779,36.84109073278989,1723,0.30529763454845815,8.902181900824237,773,False
ETF,DIA,prev_rv_pct,eff_range,main,0.05786995593199017,2.4593358235337774,1802,-0.044356331527029794,-1.2328506385017353,773,True
ETF,DIA,fc_vol x prev_rv_pct,eff_range,interaction,0.06011675091012638,2.4984584562501153,1723,-0.03928690733636294,-1.091717944347388,773,True
ETF,DIA,prev_rv_pct,eff_mfe,main,-0.015130059753723227,-0.6419875567837984,1802,-0.07050464200693836,-1.9625783821262932,773,True
ETF,DIA,fc_vol x prev_rv_pct,eff_mfe,interaction,-0.014969580923961343,-0.6210817144150901,1723,-0.057912680442073115,-1.6107582518586692,773,True
ETF,DIA,prev_rv_pct,cost_opp_usd,main,0.6738385866955847,38.69181045086052,1802,0.3527743139694205,10.46847929770776,773,False
ETF,DIA,fc_vol x prev_rv_pct,cost_opp_usd,interaction,0.7027443256811647,40.97773835076064,1723,0.36984954939302445,11.05334490362496,773,False
ETF,DIA,prev_eff_range,eff_range,main,-0.050463550151232696,-2.1437184152424464,1802,-0.01935204608316146,-0.5374467188216142,773,True
ETF,DIA,fc_vol x prev_eff_range,eff_range,interaction,0.009346983221405798,0.38777594992263265,1723,-0.017997851016823205,-0.4998252499106156,773,True
ETF,DIA,prev_eff_range,eff_mfe,main,-0.04234450044832516,-1.7981378096049503,1802,-0.029615889035375386,-0.8227019123947031,773,True
ETF,DIA,fc_vol x prev_eff_range,eff_mfe,interaction,-0.01943979706786473,-0.8066111830345345,1723,-0.036511787355046364,-1.0144951072845048,773,True
ETF,DIA,prev_eff_range,cost_opp_usd,main,0.05768403620198627,2.4514082550435914,1802,-0.062073274265945076,-1.7269117623662333,773,False
ETF,DIA,fc_vol x prev_eff_range,cost_opp_usd,interaction,0.40770058023797634,18.522771374854553,1723,0.08286554176061386,2.3088588874324807,773,False
ETF,DIA,prev_eff_vol,eff_range,main,-0.04050217867646827,-1.7197730713017851,1802,-0.016185701909460767,-0.44948543321847845,773,True
ETF,DIA,fc_vol x prev_eff_vol,eff_range,interaction,0.003744859072397385,0.155356332147389,1723,-0.016021714509055447,-0.44493024179921303,773,True
