symbol,n,r2_path,r2_vs_prev,r2_displacement
ES,232,0.4848897145900354,0.19172008115558514,0.05575909473653684
MES,171,0.46866020669480635,0.13645726149507365,0.030278005141254227
MNQ,171,0.4565001966309724,0.07713341446563915,0.050914753142448865
NQ,232,0.5055349850579952,0.1579246031277789,0.08302031450549319
