panel,symbol,period,entries,sessions,long_share,mean_1,median_1,win_1,t_1,ci_lo_1,ci_hi_1,ctrl_1,ctrl_pctile_1,diff_1,mfe_1,mae_1,asym_1,mean_3,median_3,win_3,t_3,ci_lo_3,ci_hi_3,ctrl_3,ctrl_pctile_3,diff_3,mfe_3,mae_3,asym_3,mean_5,median_5,win_5,t_5,ci_lo_5,ci_hi_5,ctrl_5,ctrl_pctile_5,diff_5,mfe_5,mae_5,asym_5,mean_10,median_10,win_10,t_10,ci_lo_10,ci_hi_10,ctrl_10,ctrl_pctile_10,diff_10,mfe_10,mae_10,asym_10,mean_15,median_15,win_15,t_15,ci_lo_15,ci_hi_15,ctrl_15,ctrl_pctile_15,diff_15,mfe_15,mae_15,asym_15,mean_30,median_30,win_30,t_30,ci_lo_30,ci_hi_30,ctrl_30,ctrl_pctile_30,diff_30,mfe_30,mae_30,asym_30,verdict
etf,SPY,2016-2023 (clean holdout),3242,727,0.4342998149290561,0.37824751861044337,0.49999999999954525,0.5145781637717122,1.3221792779389017,-0.2063186259305027,0.9314124534740065,9.224515324915411e-05,0.9533333333333334,0.37815527345719424,10.263135856079426,-9.74806141439209,1.0528386537375398,0.4731048387096787,0.49999999999954525,0.5065136476426799,0.9053675718992856,-0.5487841191067351,1.4657354218362983,-0.022431207004373618,0.8866666666666667,0.4955360457140523,17.83449751861044,-17.01636166253105,1.0480793645730317,0.6578442928039755,0.9999999999990905,0.5096153846153846,0.9985685320999886,-0.6711856389577623,1.9245100806452233,0.02603706511909889,0.84,0.6318072276848766,22.864947270471475,-22.021389578163813,1.038306288043881,0.31758995037219107,1.4999999999986358,0.5155086848635235,0.3533153788874754,-1.4897051023573626,1.9863868641439921,0.014058786741741222,0.6066666666666667,0.30353116363044985,31.862375930521065,-31.15361042183623,1.0227506699572788,1.089937965260567,0.9999999999990905,0.5096153846153846,1.0234752154236073,-0.9982444168734592,3.241990151985096,-0.028195747342026335,0.8666666666666667,1.1181337126025932,38.82833436724564,-37.68813275434239,1.030253597872181,1.5326302729528518,1.0000000000005116,0.5096153846153846,1.074728418933644,-1.2557683002481324,4.264497441066997,0.1383489681050783,0.8866666666666667,1.3942813048477736,53.71589019851112,-52.638272332506205,1.020472135924177,MARGINAL
etf,SPY,2024-2026,1153,263,0.4657415437987858,0.7103775241438675,0.9999999999990905,0.514486391571554,0.9627560822385837,-0.6802774363477738,2.2346246707635844,-0.0505747126436495,0.9333333333333333,0.760952236787517,14.816417910447747,-15.367831431079887,0.9641189765058874,-1.587752414398809,0.49999999999954525,0.5021949078138718,-1.1776188333875603,-4.189147717296152,0.959634986830307,-0.08948275862079413,0.03333333333333333,-1.498269655778015,25.519490781387,-27.630087796312612,0.9236123666893565,-2.437954345917812,0.0,0.49692712906057945,-1.205738197412424,-6.6175026338898375,1.2466172080770046,-0.10035056297583513,0.02,-2.337603782941977,33.77227392449501,-36.90203687445122,0.9151872575325761,-1.4358823529411342,1.700000000005275,0.5109745390693591,-0.528230475007587,-6.7446733977172535,3.355732440737608,-0.1996419098143043,0.2,-1.23624044312683,46.98789288849853,-50.329754170324726,0.9336006833946228,-0.9279280070237192,0.0,0.49692712906057945,-0.3222281820874791,-6.505844381035991,4.686366988586446,-0.2695181255525526,0.3466666666666667,-0.6584098814711666,56.46527655838429,-60.527620719929565,0.9328844564972684,-0.8234416154523124,1.9900000000006912,0.514486391571554,-0.222266164077542,-7.861061896400384,6.495871158911271,-0.24332007073377884,0.38,-0.5801215447185336,78.04431957857743,-82.33965759438101,0.947833909670075,FAILS
etf,SPY,2025-06..2026-09 (futures era),478,106,0.38493723849372385,2.426101694915224,0.9999999999990905,0.527542372881356,2.5051642994469776,0.4730180084748411,4.3865270127116505,0.026638297872372076,1.0,2.399463397042852,15.865508474576595,-14.237627118643921,1.114336563415191,0.7212288135593107,0.7499999999993179,0.5127118644067796,0.4213217835543427,-2.778887182203072,4.002106991525107,-0.29877659574466064,0.7933333333333333,1.0200054093039714,27.74758474576296,-25.07252118644054,1.1066930421328798,0.8220550847455397,2.250000000003638,0.527542372881356,0.3680112205336857,-3.477698622881992,5.276624999999826,-0.43977659574467903,0.7466666666666667,1.2618316804902188,36.13055084745773,-33.115911016948935,1.0910329729103898,2.4688135593222658,3.00000000000864,0.5254237288135594,0.826269795011166,-3.281688029660949,8.207054555085193,-0.4724679036428887,0.9066666666666666,2.9412814629651542,49.94792372881369,-45.774427966101264,1.0911752685539435,1.4884745762714147,1.0050000000035197,0.510593220338983,0.39249031465175893,-6.07615730932151,9.357786546610699,-0.5591063829786646,0.7466666666666667,2.0475809592500793,59.92853813559317,-56.9075635593216,1.0530856425283863,-0.06362288135595479,5.495000000001937,0.538135593220339,-0.011892320198277975,-10.604864936440721,10.32283527542383,-0.5236808510638283,0.5466666666666666,0.46005796970787355,83.42093220338978,-78.98656779660996,1.056140740514239,MARGINAL
etf,QQQ,2016-2023 (clean holdout),3031,669,0.4513361926756846,-0.3306505144374554,0.0,0.4815798207766346,-1.1667676585038185,-0.9115748423498511,0.22315773315629855,-0.04322136091881273,0.20666666666666667,-0.2874291535186427,8.934281447062725,-9.289352804513786,0.9617765236262177,0.32407235313640814,0.0,0.4981745768337205,0.6850684960914337,-0.6097115001659528,1.2878019415864448,-0.04966611018362292,0.76,0.3737384633200311,15.766083637570516,-15.904261533355452,0.9913118948971544,0.37276468635910515,0.0999999999990564,0.5011616329239961,0.6164826590586439,-0.8133569532028256,1.5328418519747589,-0.09830217028375991,0.7666666666666667,0.4710668566428651,20.28896448722201,-20.439087288416847,0.9926551122818525,-0.024610023232692093,0.390000000001578,0.5018254231662794,-0.030026104049725933,-1.5466335877862605,1.5048212744772445,-0.06543782445252172,0.5333333333333333,0.040827801219829624,28.512293395287063,-28.791466976435448,0.9903035999736701,-0.148924659807505,0.8400000000023056,0.5074676402256887,-0.14970670716913295,-2.137334301360825,1.9373060073016997,-0.1568781302170748,0.5066666666666667,0.007953470409569813,34.56384666445402,-35.09054430799867,0.9849903256295574,0.5231961500165452,1.6999999999995907,0.5134417524062397,0.3832138003363949,-2.1507517424494487,3.2725277132425648,-0.08733222036719064,0.6266666666666667,0.6105283703837359,47.500557583803555,-48.21547958845001,0.9851723552114638,MARGINAL
etf,QQQ,2024-2026,1093,236,0.505946935041171,-1.6022447102115924,0.0,0.48758049678012877,-1.8994191044620363,-3.186803817847253,0.014296458141789762,-0.007057195571916685,0.006666666666666667,-1.5951875146396757,15.789834406623758,-18.539448022079114,0.8516884854295139,-3.8289880404783925,-0.9999999999990905,0.48390064397424104,-2.6757005299683416,-6.594980450782047,-1.1765409383623555,0.042606088560939864,0.0,-3.8715941290393325,27.364397424103036,-32.63441582336702,0.8385134752284878,-6.921241950321899,-2.9999999999972715,0.46366145354185834,-3.3932272551232314,-10.915164443422077,-3.1282357405702923,-0.07517066420655955,0.0,-6.846071286115339,34.82511499540019,-43.426973321067216,0.801923604897095,-8.853670653173852,-5.799999999999272,0.45170193192272307,-3.1842824711540567,-14.829362005519789,-3.575376264949505,-0.12775830258300372,0.0,-8.725912350590848,48.62619135234594,-61.23110395584169,0.7941419999125593,-11.317976080956718,-5.499999999994998,0.46458141674333026,-3.806304967299294,-17.034025528978823,-5.497496320147048,-0.057541512915114765,0.0,-11.260434568041603,57.915289788408394,-73.91029438822446,0.7835889474908596,-14.413054277828735,-6.000000000005912,0.46826126954921804,-3.61175224478028,-22.535125114995257,-6.9901317847286135,-0.23332564575636422,0.0,-14.17972863207237,79.09068077276902,-100.40452621895108,0.7877202726926554,FAILS
etf,QQQ,2025-06..2026-09 (futures era),451,92,0.4811529933481153,-0.7989532293985938,-0.49999999999954525,0.4766146993318486,-0.5481012800245249,-3.8375629175946417,1.8720412026723432,-0.09234375000007583,0.15333333333333332,-0.706609479398518,17.39160356347459,-18.580913140311687,0.935992942442809,-3.0395322939864933,-1.0099999999965803,0.48106904231625836,-1.3373156055866386,-7.508683184854868,1.6449716035635606,-0.18503348214286008,0.013333333333333334,-2.854498811843633,30.855256124721613,-32.95888641425365,0.9361741090675235,-3.785723830734552,-3.489999999999327,0.45879732739420936,-1.2980280226677052,-9.366488307349258,2.2209510022271712,-0.09754464285703282,0.006666666666666667,-3.688179187877519,38.390579064588124,-43.43340757238289,0.883895167576001,-4.6908240534520536,-4.9999999999954525,0.45657015590200445,-1.3386776973120658,-11.550154788418414,2.288438752783792,0.06704241071423876,0.013333333333333334,-4.757866464166292,52.456325167038074,-59.05768374164778,0.8882218509705216,-8.270445434298276,-4.329999999993106,0.46770601336302897,-2.0258812244684123,-16.019407572382722,-0.06736804008946176,0.31193080357143005,0.0,-8.582376237869706,60.70579064587982,-70.70260579064558,0.8586075430604794,-9.495278396436388,-3.999999999996362,0.47884187082405344,-1.615188625483243,-21.18670211581282,2.093123608018192,0.27550223214272623,0.02,-9.770780628579114,82.61625835189318,-95.81472160356321,0.8622501528911273,FAILS
futures,MNQ,2024-2026,343,71,0.597667638483965,3.2029411764705884,1.5,0.5470588235294118,2.479661624934616,0.7904411764705882,5.618419117647054,-0.02440828402366864,1.0,3.227349460494257,19.066176470588236,-17.979411764705883,1.0604449533780467,4.341176470588235,2.0,0.5147058823529411,1.934389745809089,-0.10301470588235294,8.736801470588235,0.20414201183431951,1.0,4.137034458753916,32.90588235294118,-29.354411764705883,1.1209859225489704,6.239705882352941,5.0,0.5617647058823529,2.1434411200004306,0.31908088235294113,11.944374999999997,-0.1856508875739645,0.9933333333333333,6.425356769926905,42.5,-37.169117647058826,1.1434223541048467,1.8794117647058823,3.5,0.5147058823529411,0.47403175180343243,-5.668014705882353,9.45974264705882,0.5576923076923077,0.6533333333333333,1.3217194570135746,56.24411764705882,-53.30882352941177,1.0550620689655172,2.586764705882353,1.75,0.5117647058823529,0.553500850563606,-6.306066176470589,11.802132352941172,0.4837278106508876,0.64,2.1030368952314653,65.50735294117646,-64.91911764705883,1.0090610488164005,7.179411764705883,9.5,0.5470588235294118,1.0744749994800276,-5.873933823529411,20.294558823529407,0.33727810650887574,0.8733333333333333,6.842133658197007,91.81764705882352,-84.58676470588236,1.0854847963281697,REPLICATES
futures,MNQ,2025-06..2026-09 (futures era),343,71,0.597667638483965,3.2029411764705884,1.5,0.5470588235294118,2.479661624934616,0.5205882352941177,5.706176470588233,0.16346153846153846,0.9933333333333333,3.03947963800905,19.066176470588236,-17.979411764705883,1.0604449533780467,4.341176470588235,2.0,0.5147058823529411,1.934389745809089,-0.1822058823529411,8.766470588235292,-0.40162721893491127,0.9866666666666667,4.7428036895231465,32.90588235294118,-29.354411764705883,1.1209859225489704,6.239705882352941,5.0,0.5617647058823529,2.1434411200004306,0.5115073529411764,11.948749999999999,-0.27514792899408286,1.0,6.514853811347024,42.5,-37.169117647058826,1.1434223541048467,1.8794117647058823,3.5,0.5147058823529411,0.47403175180343243,-6.316213235294118,9.15591911764706,-0.9733727810650887,0.7666666666666667,2.8527845457709713,56.24411764705882,-53.30882352941177,1.0550620689655172,2.586764705882353,1.75,0.5117647058823529,0.553500850563606,-6.411029411764706,11.475183823529411,-0.7374260355029585,0.74,3.3241907413853116,65.50735294117646,-64.91911764705883,1.0090610488164005,7.179411764705883,9.5,0.5470588235294118,1.0744749994800276,-5.70735294117647,19.54959558823528,-0.8025147928994083,0.8733333333333333,7.981926557605291,91.81764705882352,-84.58676470588236,1.0854847963281697,REPLICATES
futures,NQ,2024-2026,470,81,0.5787234042553191,14.426406926406926,10.0,0.5281385281385281,1.4608386596939356,-5.088203463203463,33.19318181818182,0.2533039647577092,0.88,14.173102961649217,159.36147186147187,-152.27272727272728,1.0465529495380241,35.73593073593074,20.0,0.5238095238095238,2.1547480206632907,4.155032467532467,68.12418831168827,2.951541850220264,0.9866666666666667,32.78438888571047,268.98268398268397,-245.3138528138528,1.0964838752371289,64.8051948051948,40.0,0.5822510822510822,3.111520786702421,26.04518398268398,103.46374458874459,1.6134361233480177,1.0,63.191758681846785,359.7077922077922,-306.8290043290043,1.1723396000141089,58.798701298701296,40.0,0.5454545454545454,2.0277551362679023,0.9607683982683983,114.66856060606058,-1.7786343612334803,0.9866666666666667,60.577335659934775,496.2878787878788,-429.45887445887445,1.1556121163247821,62.74891774891775,45.0,0.5411255411255411,1.807000678767129,-3.1972402597402585,133.19209956709952,-3.392070484581498,0.9866666666666667,66.14098823349924,587.1536796536797,-522.2402597402597,1.1242980002072325,70.58441558441558,80.0,0.5497835497835498,1.5035112294317583,-23.553300865800864,163.765422077922,-4.895374449339207,0.94,75.47979003375478,783.2467532467532,-696.1904761904761,1.1250466359905484,REPLICATES
futures,NQ,2025-06..2026-09 (futures era),470,81,0.5787234042553191,14.426406926406926,10.0,0.5281385281385281,1.4608386596939356,-4.957792207792208,32.99864718614718,-2.6651982378854626,0.9133333333333333,17.09160516429239,159.36147186147187,-152.27272727272728,1.0465529495380241,35.73593073593074,20.0,0.5238095238095238,2.1547480206632907,4.057359307359307,65.40286796536796,-1.0352422907488985,0.9733333333333334,36.771173026679634,268.98268398268397,-245.3138528138528,1.0964838752371289,64.8051948051948,40.0,0.5822510822510822,3.111520786702421,24.86796536796537,107.02840909090907,1.3766519823788546,1.0,63.42854282281595,359.7077922077922,-306.8290043290043,1.1723396000141089,58.798701298701296,40.0,0.5454545454545454,2.0277551362679023,2.272727272727273,113.69642857142848,2.802863436123348,0.9866666666666667,55.99583786257795,496.2878787878788,-429.45887445887445,1.1556121163247821,62.74891774891775,45.0,0.5411255411255411,1.807000678767129,-7.740259740259741,131.1147186147186,-3.4801762114537445,0.96,66.22909396037149,587.1536796536797,-522.2402597402597,1.1242980002072325,70.58441558441558,80.0,0.5497835497835498,1.5035112294317583,-18.44534632034632,163.77164502164493,-6.70704845814978,0.9533333333333334,77.29146404256537,783.2467532467532,-696.1904761904761,1.1250466359905484,REPLICATES
