sharpe,sd,mean_per_session,pass_rate,payout_rate,breach_rate,mean_net_cash,median_net_cash,p_lose_money,median_months,median_months_to_payout
0.0,250.0,0.0,0.24,0.155,0.9966666666666667,-49.001455000188145,-102.66666666666667,0.8833333333333333,2.761904761904762,2.5657894736842106
0.5,250.0,7.8742598543588995,0.395,0.2916666666666667,0.9933333333333333,73.31069446488571,-91.0,0.7883333333333333,3.3095238095238093,3.05921052631579
1.0,250.0,15.748519708717799,0.475,0.375,0.9933333333333333,241.1400290194495,-82.11239850765807,0.715,3.5714285714285716,3.0263157894736845
1.5,250.0,23.6227795630767,0.5916666666666667,0.525,0.995,402.0541366097143,-49.0,0.5866666666666667,3.5952380952380953,2.6315789473684212
2.0,250.0,31.497039417435598,0.6716666666666666,0.6183333333333333,0.985,811.5303460942669,6.5792341186997305,0.49,3.9761904761904763,2.4671052631578947
3.0,250.0,47.2455591261534,0.85,0.8133333333333334,0.9366666666666666,2296.1599806980885,407.9551167379019,0.2966666666666667,4.523809523809524,2.2039473684210527
1.0,100.0,6.299407883487119,0.255,0.09666666666666666,0.16,-496.0005695647568,-583.3333333333334,0.96,11.904761904761905,6.842105263157895
1.0,250.0,15.748519708717799,0.48,0.385,0.9916666666666667,161.71570104295236,-84.0,0.72,3.6666666666666665,2.861842105263158
1.0,500.0,31.497039417435598,0.36,0.24166666666666667,1.0,352.3106674843404,-49.0,0.7583333333333333,1.0,0.9539473684210527
1.0,800.0,50.395263067896956,0.34833333333333333,0.14833333333333334,1.0,351.3220832321606,-49.0,0.8516666666666667,1.0,0.5921052631578948
