feature,outcome,n,r,t,passes
spread_QQQ_DIA,rth_ret_IWM,2571,0.025534251408184237,1.2946334025721622,False
spread_QQQ_DIA,rth_range_IWM,2571,-0.0032258776411909205,-0.16350543833205744,False
spread_QQQ_DIA,rth_ret_DIA,2571,0.022466389789213236,1.1390032728147201,False
spread_QQQ_DIA,rth_range_DIA,2571,0.006936857261225362,0.35160517596529933,False
spread_QQQ_DIA,rth_spread_SPY_QQQ,2571,-0.020240075666220974,-1.0260845745977782,False
spread_QQQ_DIA,rth_spread_SPY_IWM,2571,-0.019577104648169398,-0.9924616976669625,False
spread_QQQ_DIA,rth_spread_SPY_DIA,2571,-0.006115682535313164,-0.30998102290489005,False
spread_QQQ_DIA,rth_spread_QQQ_IWM,2571,-0.004218204709871367,-0.21380288845685058,False
spread_QQQ_DIA,rth_spread_QQQ_DIA,2571,0.010595340414375879,0.5370581917959094,False
spread_QQQ_DIA,rth_spread_IWM_DIA,2571,0.015501569048532341,0.7857961518915854,False
spread_IWM_DIA,rth_ret_SPY,2571,-0.00666986176819856,-0.33807148861005004,False
spread_IWM_DIA,rth_range_SPY,2571,-0.07258863883195107,-3.6889086660226216,True
spread_IWM_DIA,rth_ret_QQQ,2571,-0.015287873193384106,-0.7749610609306031,False
spread_IWM_DIA,rth_range_QQQ,2571,-0.052451955667685464,-2.6622079626614648,False
spread_IWM_DIA,rth_ret_IWM,2571,-0.01005426008177526,-0.5096289839920843,False
spread_IWM_DIA,rth_range_IWM,2571,-0.04601343676066357,-2.3346778534431007,False
spread_IWM_DIA,rth_ret_DIA,2571,0.016930855212006265,0.8582685582707287,False
spread_IWM_DIA,rth_range_DIA,2571,-0.06839906746573553,-3.47496572563295,False
spread_IWM_DIA,rth_spread_SPY_QQQ,2571,0.025023328476612455,1.2687122757261877,False
spread_IWM_DIA,rth_spread_SPY_IWM,2571,0.00890905403118831,0.4515760297007497,False
spread_IWM_DIA,rth_spread_SPY_DIA,2571,-0.06391372624799364,-3.2461235528678296,False
spread_IWM_DIA,rth_spread_QQQ_IWM,2571,-0.006905272178844838,-0.3500041614414848,False
spread_IWM_DIA,rth_spread_QQQ_DIA,2571,-0.04427208841880996,-2.246146565383012,False
spread_IWM_DIA,rth_spread_IWM_DIA,2571,-0.03605648388956171,-1.8287229528899043,False
dispersion,rth_ret_SPY,2571,-0.008689616960868753,-0.440452503217052,False
dispersion,rth_range_SPY,2571,0.2778161934577411,14.658230335529929,True
dispersion,rth_ret_QQQ,2571,-0.0004017196785873357,-0.020361285510173816,False
dispersion,rth_range_QQQ,2571,0.2868026779035505,15.174151796714822,True
dispersion,rth_ret_IWM,2571,0.00023577704314790352,0.011950431343646784,False
dispersion,rth_range_IWM,2571,0.3301284045847026,17.726474893870336,True
