,revert.vwap.q90|NQ,revert.vwap.q95|NQ,session.midday_reversion|NQ,added.bollinger_revert.2sd|NQ,revert.z_60.q95|NQ
revert.vwap.q90|NQ,1.0,0.40688190254477996,0.06814868578879023,0.15494999686871683,0.13143405153660484
revert.vwap.q95|NQ,0.40688190254477996,1.0,-0.026017014009222343,0.0874834587464683,0.05576474966065502
session.midday_reversion|NQ,0.06814868578879023,-0.026017014009222343,1.0,0.4799693621880979,0.4545890130991434
added.bollinger_revert.2sd|NQ,0.15494999686871683,0.0874834587464683,0.4799693621880979,1.0,0.8105324194359387
revert.z_60.q95|NQ,0.13143405153660484,0.05576474966065502,0.4545890130991434,0.8105324194359387,1.0
