symbol,strategy,kind,base_per_trade,gated_per_trade,base_per_trade_norm,gated_per_trade_norm,base_capture,gated_capture,ctrl_norm_p50,ctrl_norm_p95,ctrl_norm_pctile,was_phase3_winner
ES,trend.ret_15.q80,trend,-18.14187486468933,-12.871388771633601,-0.008889071539286454,-0.005786152790107225,-0.0012785323637796242,0.0019241079406683743,-0.008725843219754165,-0.007199259201856774,0.975,True
ES,trend.ret_15.q90,trend,-16.549138755980874,-7.720298507462688,-0.008284260455609347,-0.00478711379305809,-0.00013379989853507695,0.0034163340680288317,-0.008651489117312455,-0.006617290798047745,1.0,True
ES,trend.ret_30.q80,trend,-18.54190476190477,-12.902193985599324,-0.008946064776698431,-0.005697178574940145,-0.0015535654885461712,0.0019002799785548341,-0.008830509995763566,-0.0075087492143959544,1.0,True
ES,trend.ret_30.q90,trend,-16.668755980861253,-7.732480573819488,-0.008323381090783292,-0.004797733620336562,-0.00019326652010622224,0.0034073985822362543,-0.008670379415692434,-0.006675051919084466,1.0,True
ES,trend.ret_60.q80,trend,-20.88643509240705,-16.252885032537954,-0.009623680460069048,-0.006522198535509921,-0.0030755393343826713,1.489247632096265e-05,-0.009725131243249441,-0.008350677692575212,1.0,True
ES,trend.ret_60.q90,trend,-17.695882174309137,-9.02587660354307,-0.008624170709755723,-0.004996773999332526,-0.0006931578076886625,0.0028295705009829036,-0.0090640524472195,-0.0068705810054212986,1.0,True
ES,trend.ma_agree.30_120,trend,-25.735523190678904,-27.86296943231442,-0.011483519305777424,-0.009772701800586925,-0.00627372857575583,-0.006320366950616548,-0.011510552042358423,-0.009785590330407892,0.95,False
ES,trend.multi_horizon_agree,trend,-20.318292253521125,-16.3279094076655,-0.009765167067430037,-0.006795421251318524,-0.0034100390807203637,-3.2763447906117826e-05,-0.009603493898697371,-0.008261619675604364,1.0,False
ES,trend.accel_confirm,trend,-24.62604715672676,-28.635549583445304,-0.00909603699375741,-0.008148565824508932,-0.008946009882609173,-0.010954905581700125,-0.009119506121177949,-0.007720236793973919,0.85,False
ES,breakout.opening_range.q90,breakout,-52.12834834834834,-70.86815028901738,-0.019548314041730838,-0.023858878023611117,-0.0035494139750277356,-0.004500506344194913,-0.018284006945912503,-0.015881038971203434,0.1,False
ES,breakout.opening_range.q95,breakout,-46.37615384615384,-6.981219512195135,-0.023799327418888395,-0.0126960099284114,-0.0011633157844855302,0.00018168821111574432,-0.016885159296959728,-0.005745981438330607,0.725,False
ES,breakout.range_expansion.q80,breakout,-16.233383058071407,-4.930151668351868,-0.007884731189489565,-0.0024083314823257892,1.3008323468688036e-05,0.002674688747244892,-0.006920681600826564,-0.0034127548492778495,1.0,False
ES,breakout.range_expansion.q90,breakout,-14.700177383592024,4.792247706422012,-0.00927811511181065,-0.0030914059285531447,0.00021184983934720517,0.0021891940191815095,-0.009930609363494151,-0.004916378456074359,0.975,True
ES,breakout.failed_reversal,breakout,-15.63064935064935,-20.56082191780822,-0.00530476229149504,-0.0034551551499921234,2.229998308917949e-05,-7.446238160481325e-05,-0.005028551263955636,-0.00161449339480096,0.85,False
ES,breakout.compression_expansion,breakout,-12.26602840128264,-3.2391346153846152,-0.007413177976138708,-0.0029924368163468055,0.0013026906787929019,0.001939000416989337,-0.0070399594886257025,-0.004714131703172564,0.95,True
ES,revert.z_60.q90,reversion,-15.824504181600961,-24.551181384248217,-0.0029557772507255308,-0.003991716590293545,0.00022671649473999148,-0.003303151247989516,-0.002141574520172132,-0.0009636053726737755,0.05,False
ES,revert.z_60.q95,reversion,-12.617396504139839,-21.79605504587157,-0.002505241758294598,-0.0037510112417593463,0.0011837574356506112,-0.001432656222076607,-0.0019474262467182144,-0.0004869652472651402,0.05,False
ES,revert.vwap.q90,reversion,-1.3043506493506507,1.2200000000000042,0.006012790107058938,0.006791717442664945,0.0034286223999613467,0.0043366891046643236,0.0061679564935644944,0.008694214598224411,0.6,False
ES,revert.vwap.q95,reversion,8.079309623430959,11.362276422764223,0.007488914934406363,0.00822807575516378,0.003462072374595116,0.004860904271162209,0.0072433255695615074,0.010128110654523896,0.725,False
ES,revert.z_calm_only,reversion,-19.06010033444819,-31.0230668841762,-0.004381565603261785,-0.006152727750903017,-0.0004943162918101453,-0.002153452076011199,-0.004230356915691077,-0.0025373357164080648,0.05,False
ES,session.late_day_continuation,session,-21.98891653706583,-17.87774436090226,-0.010368797310834624,-0.007534692197527229,-0.0016371904251305943,-0.0003544409364389111,-0.009788919804674407,-0.00620895077591796,0.875,False
ES,session.late_day_fade,session,-10.571083462934167,-14.682255639097736,-0.001238906769357132,-0.0016086867844535288,0.0016371904251305943,0.0003544409364389111,-0.0014909482943275024,0.0006399354792768913,0.45,False
ES,session.opening_drive,session,-13.721709844559593,-13.716868686868692,-0.009364786497572775,-0.006760141165706359,0.0007340411100188249,0.0006046345386310836,-0.008345375813808831,-0.0028427937412407,0.675,False
ES,session.midday_reversion,session,-4.389965635738832,-7.761854838709677,-0.00045871251594474153,-0.0008846231286994015,0.0025719313829520346,0.0015100970989456127,0.0007495893328064067,0.002684536844051307,0.1,False
ES,vol.expansion_trend,volatility,-22.702848281209626,-25.50191984166255,-0.010461558944479397,-0.00921095622570902,-0.0036943638651074024,-0.004440936438911062,-0.009802583978743371,-0.007577009403504489,0.625,False
ES,vol.contraction_revert,volatility,-10.073624941833412,-10.401057513914655,-0.0024610649017386727,-0.001844408901641098,0.0019828401630128762,0.0015100970989456127,-0.0011578369829128672,0.00015670273780389607,0.275,False
ES,vol.vol_of_vol_shock,volatility,-30.41888888888887,-32.20368045649072,-0.010059555737893012,-0.010071635160321467,-0.00189178189873206,-0.0026597962709239294,-0.011179268466237742,-0.007374332786880078,0.7,False
ES,volume.heavy_continuation.q80,volume,-18.2940859343332,-14.14473232529628,-0.007281008880755822,-0.004710641794149675,-0.0014773738796581412,0.0012450110204324776,-0.0066753187990142805,-0.005787491507006112,1.0,True
ES,volume.heavy_continuation.q90,volume,-17.045800697944934,-11.488821233411398,-0.00726060034017447,-0.004417149446638376,-0.00029361644400753,0.0014624411747185323,-0.0068653988988692845,-0.0050439384110396905,1.0,True
ES,volume.climax_reversion,volume,-13.978821796759942,-24.499696969697005,-0.001716889198058169,-0.0027768778459492014,0.00023229149051228636,-0.000646333472329779,-0.00046102136323139867,0.0026620278577529064,0.15,False
NQ,trend.ret_15.q80,trend,-13.331116838487977,-1.2903305785123949,-0.004813180523898616,-0.0029665273182611003,0.0001402577723106327,0.003379664335130013,-0.004345818358050278,-0.003516616581319523,1.0,True
NQ,trend.ret_15.q90,trend,-20.513882837798057,-13.411109022556387,-0.004583802816987967,-0.002994178240727968,-0.0015351179624907767,7.314685699137193e-05,-0.004798124998747399,-0.003666156416946782,1.0,True
