panel,symbol,target,b2_search,t2_search,b2_hold,t2_hold,peak_search,peak_hold,oos_quad_better,n_search
ETF,DIA,eff_range,-0.001333573038952058,-0.5784237627005246,0.0011703142131128897,0.6296525238166119,5.998967622867722,2.7942510383138752,False,1723
ETF,DIA,eff_vol,-0.006816560555560847,-1.3041682855879488,0.006117808947221096,1.399148716979294,3.1888720946814697,3.3685115443792837,False,1723
ETF,DIA,eff_mfe,-0.0001678819302958958,-0.12862147672880783,0.0027992145861240898,2.6459180357984904,-10.350467677115214,2.4182923206131415,False,1723
ETF,IWM,eff_range,-0.0031826111026829838,-1.3788276641070596,0.0022786514948416256,1.0805522882379588,2.334820642137112,3.2967082408628943,False,1781
ETF,IWM,eff_vol,-0.010199873021593073,-1.9198217829009143,0.007383981392509759,1.537178191185864,1.5434805237447957,3.2776943040011046,False,1781
ETF,IWM,eff_mfe,0.00040425180423288125,0.3078674060952813,0.00237164025688346,2.0454188428029565,6.218757558893559,2.1562353410941735,True,1781
ETF,QQQ,eff_range,-0.007120956735867098,-2.226921722787471,0.00044026112552008516,0.2114834843049498,1.980596691071186,4.044777318365025,False,1781
ETF,QQQ,eff_vol,-0.019067615567882022,-2.438416001060746,0.004432060600536726,0.8978559675651999,1.4736009320357577,3.100622795236668,False,1781
ETF,QQQ,eff_mfe,-0.002569702766787793,-1.4396099472606532,0.002780201245334457,2.3704728737995415,-0.09215941134620337,3.523692842987847,False,1781
ETF,SPY,eff_range,-0.0033042115295720195,-1.3033202089124492,0.000944837926148434,0.49477591759666034,3.318521553248019,1.2569596771814309,False,1783
ETF,SPY,eff_vol,-0.012068862020041947,-2.026238027216272,0.0053179785766741955,1.1955828541254512,2.18930512326566,2.5028702321675524,False,1783
ETF,SPY,eff_mfe,0.000911819121504993,0.645396495897134,0.002529835075670705,2.3800615432462964,4.047953104481488,2.530822173156197,True,1783
FUTURES,ES,eff_range,-0.01903502784862459,-1.152659711091684,0.02113063088745669,1.2229569586358753,0.2704051568752551,0.8718836812129902,False,138
FUTURES,ES,eff_vol,-0.025849272919779568,-0.6883635716173493,0.018129625359423113,0.4327392991360878,0.1725482591878749,1.9818056476212258,False,138
FUTURES,ES,eff_mfe,-0.017683817999770084,-1.9422279835461929,-0.0012048393464301269,-0.12106041490206669,-0.015398156800015163,-7.656874454983124,False,138
FUTURES,MES,eff_range,0.00012164289085592195,0.006383812966638136,,,162.9996899687936,,False,95
FUTURES,MES,eff_vol,0.01830878717338759,0.4051970463956058,,,2.3145782174532727,,False,95
FUTURES,MES,eff_mfe,-0.009609783814090743,-0.8828416426332226,,,-0.9974779426699629,,True,95
FUTURES,MNQ,eff_range,0.000969215220219713,0.046735961112933766,,,14.655990817683618,,True,95
FUTURES,MNQ,eff_vol,0.02954149199201142,0.6200424254086029,,,1.4444838163045834,,False,95
FUTURES,MNQ,eff_mfe,-0.003232421327787966,-0.28151778044151043,,,-3.1196658554095973,,True,95
FUTURES,NQ,eff_range,-0.021999944320222987,-1.3537056965176115,0.006119918983414328,0.3246977172445778,0.14094061568139513,0.7558397478745519,False,138
FUTURES,NQ,eff_vol,-0.02508278155954538,-0.6615843077067577,-0.027847509176351898,-0.6112578823535443,-0.13279900062978664,0.4651676301106637,False,138
FUTURES,NQ,eff_mfe,-0.008225641628522525,-0.915202950551982,-0.008120817905433102,-0.7474259905172063,-0.8961840498559283,-0.5311002059700338,False,138
