control,median,p95,real,pctile
random_stop_target,-1.5359011663670592,1.4038917694406148,1.4549271137026252,0.955
random_timing,1.4549271137026252,1.4549271137026252,1.4549271137026252,0.0
fixed_hold,1.4549271137026252,,1.4549271137026252,
random_entry,1.037372630729157,5.244756422755662,1.4549271137026252,0.615
