conditioner,symbol,bucket,target,n,mean,t,hit,passes_bonf
on_range_pct,ES,10-25,signed_cont,32,-0.14676067182011268,-1.2489669677337838,0.40625,False
on_range_pct,ES,25-50,signed_cont,58,-0.06079937116968836,-0.9531223820356118,0.43103448275862066,False
on_range_pct,ES,50-75,signed_cont,62,0.01818625278820306,0.23630631807433078,0.4838709677419355,False
on_range_pct,ES,75-90,signed_cont,55,0.10725359112544039,1.4282914142742682,0.5272727272727272,False
on_range_pct,ES,90-100,signed_cont,31,-0.07742620397316181,-0.42636682188529773,0.5161290322580645,False
on_range_pct,MES,10-25,signed_cont,23,-0.07699261373862791,-0.7249081177236578,0.43478260869565216,False
on_range_pct,MES,25-50,signed_cont,48,0.005753288995198382,0.07845721785713379,0.4583333333333333,False
on_range_pct,MES,50-75,signed_cont,51,-0.00419258630194515,-0.04522301513112421,0.49019607843137253,False
on_range_pct,MES,75-90,signed_cont,34,0.14999059218659141,1.6777051289951634,0.5294117647058824,False
on_range_pct,MES,90-100,signed_cont,23,0.1202701116048583,0.6334289598811863,0.6086956521739131,False
on_range_pct,MNQ,25-50,signed_cont,44,0.02090591805176577,0.18275284730699984,0.45454545454545453,False
on_range_pct,MNQ,50-75,signed_cont,54,-0.11575288295779025,-1.1091391942776267,0.42592592592592593,False
on_range_pct,MNQ,75-90,signed_cont,47,0.26418547237423334,1.7530937867988683,0.6170212765957447,False
on_range_pct,MNQ,90-100,signed_cont,28,0.25436537204137116,1.2097556168438663,0.5714285714285714,False
on_range_pct,NQ,10-25,signed_cont,16,-0.12369174690604612,-0.45182294820070934,0.5,False
on_range_pct,NQ,25-50,signed_cont,52,-0.017737685475927023,-0.19288214841540444,0.4423076923076923,False
on_range_pct,NQ,50-75,signed_cont,65,-0.02474853185155331,-0.24588568507640043,0.46153846153846156,False
on_range_pct,NQ,75-90,signed_cont,68,0.10356391356188135,0.7972337195904838,0.5294117647058824,False
on_range_pct,NQ,90-100,signed_cont,43,0.13219798300717284,0.85460223590212,0.5813953488372093,False
on_vol_ratio,ES,0-10,signed_cont,34,-0.07421445383197843,-0.6994595072737146,0.4117647058823529,False
on_vol_ratio,ES,10-25,signed_cont,27,-0.04092760041881679,-0.40146080862610073,0.5185185185185185,False
on_vol_ratio,ES,25-50,signed_cont,51,0.10763518019807199,1.3024203582031002,0.5098039215686274,False
on_vol_ratio,ES,50-75,signed_cont,61,-0.09034581938794319,-0.9742470372917076,0.45901639344262296,False
on_vol_ratio,ES,75-90,signed_cont,38,0.023674325850007054,0.21197034269743406,0.5,False
on_vol_ratio,ES,90-100,signed_cont,21,-0.00034244955020684963,-0.002129636611273566,0.47619047619047616,False
on_vol_ratio,MES,10-25,signed_cont,30,0.006450852928197766,0.054718695328343496,0.5666666666666667,False
on_vol_ratio,MES,25-50,signed_cont,51,-0.0060849082491537644,-0.0721258601261607,0.49019607843137253,False
on_vol_ratio,MES,50-75,signed_cont,44,0.035784769049180466,0.4017125860775559,0.45454545454545453,False
on_vol_ratio,MES,75-90,signed_cont,26,0.13839649089791511,1.1942565462535848,0.5384615384615384,False
on_vol_ratio,MNQ,10-25,signed_cont,22,0.013899742371375024,0.07973590064689381,0.5454545454545454,False
on_vol_ratio,MNQ,25-50,signed_cont,47,0.16813109440867585,1.2312419561018242,0.5106382978723404,False
on_vol_ratio,MNQ,50-75,signed_cont,62,-0.01616953534923351,-0.15422423661103613,0.5,False
on_vol_ratio,MNQ,75-90,signed_cont,23,0.2767163416153597,1.2833734254476468,0.5217391304347826,False
