panel,symbol,entries,gross,commission,tick,net_0.0t,net_0.25t,net_0.5t,net_1.0t,net_2.0t,classification
futures,MNQ,343,3.2029411764705884,1.72,0.5,1.4829411764705884,1.3579411764705884,1.2329411764705884,0.9829411764705884,0.48294117647058843,MARGINAL AFTER COSTS
futures,NQ,470,14.426406926406926,13.78,5.0,0.646406926406927,-0.603593073593073,-1.853593073593073,-4.353593073593073,-9.353593073593073,NEGATIVE AFTER COSTS
futures,MES,449,0.061659192825112105,2.4699999999999998,1.25,-2.4083408071748877,-2.7208408071748877,-3.0333408071748877,-3.6583408071748877,-4.908340807174888,NEGATIVE AFTER COSTS
futures,ES,364,4.005524861878453,16.28,12.5,-12.274475138121549,-15.399475138121549,-18.52447513812155,-24.77447513812155,-37.274475138121545,NEGATIVE AFTER COSTS
etf,SPY,4395,0.46495301398119054,1.0,1.0,-0.5350469860188094,-0.7850469860188094,-1.0350469860188094,-1.5350469860188094,-2.535046986018809,NEGATIVE AFTER COSTS
etf,QQQ,4124,-0.667778048780501,1.0,1.0,-1.667778048780501,-1.917778048780501,-2.1677780487805007,-2.6677780487805007,-3.6677780487805007,NEGATIVE AFTER COSTS
etf,IWM,3719,-0.056753246753241365,1.0,1.0,-1.0567532467532414,-1.3067532467532414,-1.5567532467532414,-2.0567532467532414,-3.0567532467532414,NEGATIVE AFTER COSTS
etf,DIA,3912,0.26035612903229527,1.0,1.0,-0.7396438709677047,-0.9896438709677047,-1.2396438709677047,-1.7396438709677047,-2.7396438709677047,NEGATIVE AFTER COSTS
