symbol,strategy,variant,slip_ticks,net,trades,per_trade
MNQ,revert.z_60.q95,gated,1.0,-169.09999999999974,830,-0.20373493975903584
MNQ,revert.vwap.q90,ungated,0.0,2404.2599999999998,917,2.6218756815703377
MNQ,revert.vwap.q90,ungated,1.0,1945.7600000000002,917,2.121875681570338
MNQ,revert.vwap.q90,gated,0.0,736.9200000000002,664,1.109819277108434
MNQ,revert.vwap.q90,gated,1.0,404.9200000000002,664,0.609819277108434
MNQ,revert.vwap.q95,ungated,0.0,2184.7399999999993,508,4.300669291338582
MNQ,revert.vwap.q95,ungated,1.0,1930.7399999999998,508,3.8006692913385822
MNQ,revert.vwap.q95,gated,0.0,2281.3999999999996,430,5.305581395348836
MNQ,revert.vwap.q95,gated,1.0,2066.3999999999996,430,4.805581395348836
MNQ,revert.z_calm_only,ungated,0.0,445.4200000000004,789,0.5645373891001273
MNQ,revert.z_calm_only,ungated,1.0,50.92000000000062,789,0.06453738910012753
MNQ,revert.z_calm_only,gated,0.0,302.0600000000003,427,0.7074004683840757
MNQ,revert.z_calm_only,gated,1.0,88.56000000000054,427,0.20740046838407622
MNQ,session.midday_reversion,ungated,0.0,912.2200000000003,1074,0.8493668528864062
MNQ,session.midday_reversion,ungated,1.0,375.2200000000007,1074,0.3493668528864066
MNQ,session.midday_reversion,gated,0.0,1063.0800000000002,586,1.8141296928327648
MNQ,session.midday_reversion,gated,1.0,770.0800000000003,586,1.314129692832765
MNQ,volume.heavy_continuation.q90,ungated,0.0,-3303.9799999999996,2234,-1.4789525514771709
MNQ,volume.heavy_continuation.q90,ungated,1.0,-4420.98,2234,-1.9789525514771709
MNQ,volume.heavy_continuation.q90,gated,0.0,615.2800000000002,1176,0.5231972789115648
MNQ,volume.heavy_continuation.q90,gated,1.0,27.280000000000314,1176,0.02319727891156489
