target,symbol,n_oos,r2_prev,r2_overnight,r2_full,incremental
rth_range_pct,ES,212,0.18183886831287577,0.21657490055649986,0.19689466810430067,-0.017898267071753127
rth_range_pct,MES,151,0.15071701612235788,0.05449220493508111,0.0760271446713029,-0.10884929149982692
rth_range_pct,MNQ,151,0.16607170670512994,0.13388762435110002,0.13771835771406793,-0.05360183404882424
rth_range_pct,NQ,212,0.2172917693119535,0.2650001517433429,0.24820641118099085,0.01722349894788633
rth_rv_pct,ES,212,0.36270805026752406,0.46547687523242787,0.45608996800101365,0.08994455164673354
rth_rv_pct,MES,151,0.3846977461415334,0.2846976882796264,0.3550870487557788,-0.08356609716413521
rth_rv_pct,MNQ,151,0.41107435041184337,0.3872167587396639,0.45236129863524777,0.032212621300024114
rth_rv_pct,NQ,212,0.4128019690652044,0.5213332042547817,0.5359277867893227,0.16259977639062295
