panel,symbol,quintile,n,median_turns,median_eff,median_eff_vol,max_run_over_range,trend day,volatile trend,two-sided chop,late reversal,"opening impulse, fade",late expansion
ETF,DIA,1,500,10.0,0.43188259876263113,0.6096806500413362,0.7449750149677834,0.206,0.186,0.306,0.078,0.152,0.072
ETF,DIA,2,499,11.0,0.4404761904761941,0.6305934884991894,0.7129337539432176,0.22444889779559118,0.15831663326653306,0.35070140280561124,0.09418837675350701,0.10821643286573146,0.06412825651302605
ETF,DIA,3,499,10.0,0.4715025906735864,0.6871330332698772,0.7285714285714477,0.2745490981963928,0.1462925851703407,0.30861723446893785,0.08216432865731463,0.10821643286573146,0.08016032064128256
ETF,DIA,4,499,10.0,0.5031446540880414,0.7388750541781426,0.7253731343283554,0.2745490981963928,0.1683366733466934,0.2965931863727455,0.08216432865731463,0.09018036072144289,0.08817635270541083
ETF,DIA,5,499,11.0,0.47712418300654746,0.7047023805391047,0.7130571019033858,0.2665330661322645,0.18236472945891782,0.33867735470941884,0.07615230460921844,0.06813627254509018,0.06813627254509018
ETF,IWM,1,516,10.0,0.46445707070706377,0.6679247924725761,0.725112747404844,0.23837209302325582,0.16279069767441862,0.2868217054263566,0.09108527131782945,0.1434108527131783,0.07751937984496124
ETF,IWM,2,516,10.0,0.47228266934493435,0.7217645283482922,0.7167077175697781,0.24806201550387597,0.14922480620155038,0.3236434108527132,0.09302325581395349,0.12790697674418605,0.05813953488372093
ETF,IWM,3,516,10.0,0.47880652417238423,0.7378113132613611,0.7052111410601982,0.25387596899224807,0.1511627906976744,0.3313953488372093,0.09689922480620156,0.11046511627906977,0.0562015503875969
ETF,IWM,4,516,10.5,0.4985699148322551,0.703503957364913,0.6948557794193322,0.2771317829457364,0.17829457364341086,0.32170542635658916,0.06201550387596899,0.09302325581395349,0.06782945736434108
ETF,IWM,5,516,11.0,0.4755952380952373,0.6839594132465895,0.7233122713668068,0.24806201550387597,0.19186046511627908,0.31589147286821706,0.05813953488372093,0.11046511627906977,0.0755813953488372
ETF,QQQ,1,516,10.0,0.44092721834499227,0.6563482560937862,0.7230869303654768,0.25387596899224807,0.12403100775193798,0.32945736434108525,0.0562015503875969,0.1375968992248062,0.09883720930232558
ETF,QQQ,2,516,10.0,0.48199182185486755,0.7114834999660132,0.7014218730970687,0.29651162790697677,0.13565891472868216,0.32170542635658916,0.05813953488372093,0.12596899224806202,0.06201550387596899
ETF,QQQ,3,515,10.0,0.512987012987029,0.7545841414426027,0.6948474178403693,0.28932038834951457,0.13980582524271845,0.3339805825242718,0.0970873786407767,0.08155339805825243,0.05825242718446602
ETF,QQQ,4,516,10.0,0.540555722856678,0.8241791374066461,0.7173997100863024,0.3062015503875969,0.14922480620155038,0.31007751937984496,0.09689922480620156,0.06589147286821706,0.07170542635658915
ETF,QQQ,5,516,11.0,0.487303140186519,0.7493740284095329,0.7060161583286619,0.28875968992248063,0.16279069767441862,0.36046511627906974,0.044573643410852716,0.0872093023255814,0.0562015503875969
ETF,SPY,1,517,10.0,0.4519480519480583,0.6101610760366513,0.7185628742514834,0.23404255319148937,0.13733075435203096,0.35009671179883944,0.0735009671179884,0.12572533849129594,0.07930367504835589
ETF,SPY,2,516,10.0,0.4667510484754509,0.6697881807173671,0.706525955772104,0.2596899224806202,0.14922480620155038,0.32751937984496127,0.08139534883720931,0.1124031007751938,0.06976744186046512
ETF,SPY,3,516,10.0,0.47743092739345006,0.7161291516960419,0.7023357142157547,0.29069767441860467,0.14534883720930233,0.3313953488372093,0.06395348837209303,0.09302325581395349,0.0755813953488372
ETF,SPY,4,516,10.0,0.5149250057146851,0.7651349525063253,0.7289307956666542,0.29844961240310075,0.17248062015503876,0.3081395348837209,0.07364341085271318,0.07751937984496124,0.06976744186046512
ETF,SPY,5,517,11.0,0.4884679097821043,0.6990403697322558,0.711111111111105,0.28239845261121854,0.17408123791102514,0.33849129593810445,0.06382978723404255,0.07930367504835589,0.061895551257253385
FUTURES,ES,1,47,11.0,0.4144144144144144,0.5538763120288683,0.7,0.2553191489361702,0.0851063829787234,0.44680851063829785,0.1276595744680851,0.0851063829787234,0.0
